dateLivraisonEffective,dateLivraisonEstimee,ecartLivraison,note,notePrediction,id
2018-09-05 22:48:36,2018-08-28 00:00:00,8.950416666666667,2.0,2.5575062403309623,0
2018-05-23 00:28:30,2018-05-14 00:00:00,9.019791666666666,1.0,2.555670859776132,1
2018-01-05 17:06:15,2018-01-04 00:00:00,1.712673611111111,3.0,2.7489875068538367,2
2018-05-28 23:12:03,2018-05-10 00:00:00,18.96670138888889,1.0,2.292516053508475,3
2017-10-31 12:15:06,2017-10-24 00:00:00,7.552152777777778,2.0,2.5944986201823212,4
2018-04-03 16:14:36,2018-03-26 00:00:00,8.676805555555555,2.0,2.5647448783550177,5
2017-07-17 16:05:58,2017-06-12 00:00:00,35.67081018518518,5.0,1.8505932215013934,6
2018-03-21 21:58:50,2018-03-19 00:00:00,2.9158564814814816,1.0,2.7171561779286817,7
2017-05-23 16:52:25,2017-04-11 00:00:00,42.70306712962963,1.0,1.6645482823676507,8
2017-06-30 16:32:46,2017-06-22 00:00:00,8.689421296296297,5.0,2.564411117126328,9
2018-08-20 23:58:45,2018-08-17 00:00:00,3.9991319444444446,1.0,2.6884971116908876,10
2018-03-20 20:46:43,2018-03-19 00:00:00,1.865775462962963,4.0,2.7449370540711717,11
2017-07-31 14:33:40,2017-07-24 00:00:00,7.606712962962963,3.0,2.5930551794189793,12
2018-08-16 01:11:45,2018-08-14 00:00:00,2.049826388888889,4.0,2.74006781456785,13
2018-04-10 13:04:14,2018-03-23 00:00:00,18.502939814814813,1.0,2.304785299996879,14
2018-04-16 18:11:44,2018-04-02 00:00:00,14.758148148148146,1.0,2.4038572683844883,15
2018-06-08 18:12:37,2018-06-07 00:00:00,1.758761574074074,2.0,2.7477682066587525,16
2018-03-27 22:25:49,2018-03-23 00:00:00,4.892928240740741,2.0,2.66485089414564,17
2018-04-09 10:43:32,2018-03-23 00:00:00,17.405231481481483,5.0,2.3338262013284123,18
2018-03-14 23:03:20,2018-03-06 00:00:00,8.960648148148147,1.0,2.5572355569124654,19
2017-12-26 21:41:31,2017-12-20 00:00:00,6.903831018518518,1.0,2.611650579104379,20
2018-01-22 12:59:00,2017-12-20 00:00:00,33.54097222222222,1.0,1.906940078181199,21
2018-03-28 17:48:31,2018-03-19 00:00:00,9.700358796296296,1.0,2.537665819401662,22
2017-04-03 13:13:07,2017-03-22 00:00:00,12.509108796296296,2.0,2.4633577093709667,23
2017-11-21 23:04:42,2017-11-09 00:00:00,12.961597222222222,2.0,2.4513867045676485,24
2017-07-10 19:03:10,2017-07-05 00:00:00,5.793865740740741,1.0,2.641015749372777,25
2018-04-27 22:51:29,2018-03-23 00:00:00,35.910752314814815,1.0,1.8442453278940882,26
2018-04-05 14:36:29,2018-03-21 00:00:00,15.567002314814815,3.0,2.3824582743780964,27
2018-03-29 16:28:56,2018-03-26 00:00:00,3.6867592592592593,1.0,2.696761223435017,28
2018-02-07 18:48:59,2018-02-02 00:00:00,5.784016203703704,1.0,2.6412763280935248,29
2017-06-07 14:51:42,2017-06-07 00:00:00,0.6192361111111111,5.0,2.777915419292355,30
2018-02-08 11:56:46,2018-02-08 00:00:00,0.49775462962962963,2.0,2.7811293255825618,31
2018-08-20 18:57:40,2018-08-20 00:00:00,0.7900462962962963,5.0,2.7733964759776764,32
2018-04-20 23:08:27,2018-03-09 00:00:00,42.922534722222224,2.0,1.6587420618003015,33
2018-04-11 20:18:23,2018-03-23 00:00:00,19.80443287037037,1.0,2.2703530831116425,34
2018-01-04 18:08:28,2017-12-15 00:00:00,20.75587962962963,1.0,2.245181668612173,35
2018-01-16 22:45:32,2017-12-28 00:00:00,19.948287037037037,5.0,2.2665472864956957,36
2017-12-15 18:39:01,2017-12-15 00:00:00,0.7770949074074074,5.0,2.7737391170922665,37
2018-04-06 20:18:26,2018-03-27 00:00:00,10.846134259259259,1.0,2.5073532571685253,38
